cliente,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,cargo mensual,cargo total,Cuentas_Diarias,Gasto_Diario_Historico,internet_Fiber optic,internet_No,telefono_Yes,cancelacion_Yes
0002-orfbo,Female,0,Yes,Yes,9,No,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,0.029205952497660757,2.197407407407407,false,False,true,False
0003-mknfe,Male,0,No,No,9,Yes,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,-0.1599899725541983,2.008888888888889,false,False,true,False
0004-tlhlj,Male,0,No,No,4,No,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,0.3047017731872102,2.340416666666667,true,False,true,True
0011-igkff,Male,1,Yes,No,13,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,1.1046354212134917,3.1739743589743585,true,False,true,True
0013-exchz,Female,1,Yes,No,3,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,0.6366244487167878,2.971111111111111,true,False,true,True
0013-mhzwf,Female,0,No,Yes,9,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,0.15533656919890043,2.1164814814814816,false,False,true,False
0013-smeoe,Female,1,Yes,No,71,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,1.4929849515830973,3.7109154929577466,true,False,true,False
0014-bmaqu,Male,0,Yes,No,63,Yes,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,0.661518649381506,2.8453968253968256,true,False,true,False
0015-uocoj,Female,1,No,No,7,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,-0.5483395029238038,1.6207142857142858,false,False,true,False
0016-qljis,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,0.8540338011886609,3.055333333333333,false,False,true,False
0017-dinoc,Male,0,No,No,54,No phone service,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,-0.6479163055826769,1.518858024691358,false,False,false,False
0017-iudmw,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,1.728650051209097,3.915162037037037,true,False,true,False
0018-nyrou,Female,0,Yes,No,5,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,0.14040004880006932,2.3433333333333333,true,False,true,False
0019-efaep,Female,0,No,No,72,Yes,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,1.214169904138252,3.361689814814815,true,False,true,False
0019-gfntw,Female,0,No,No,56,No phone service,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,-0.6528951457156209,1.5238690476190475,false,False,false,False
0020-inwck,Female,0,Yes,Yes,71,Yes,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,1.029952819219337,3.215680751173709,true,False,true,False
0020-jdnxp,Female,0,Yes,Yes,34,No phone service,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,-0.11518041135770543,1.9541176470588235,false,False,false,False
0021-ikxgc,Female,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,0.2449556915918862,2.4033333333333333,true,False,true,False
0022-tcjci,Male,1,No,No,45,No,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,-0.06705162340591626,2.0677777777777777,false,False,true,True
0023-hghwl,Male,1,No,No,1,No phone service,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,-1.3150808833971277,0.8366666666666667,false,False,false,True
0023-uyupn,Female,1,Yes,No,50,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,-1.311761656641832,0.8708666666666667,false,True,true,False
0023-xuopt,Female,0,Yes,No,13,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,0.9751855777569561,3.1169230769230767,true,False,true,True
0027-kwykw,Female,0,Yes,Yes,23,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,0.6316456085838438,2.6810869565217392,true,False,true,False
0030-fnxpp,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,-1.4893402880501558,0.6355555555555555,false,True,true,False
0031-pvlzi,Female,0,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,-1.472744154273677,0.63625,false,True,true,True
0032-pgels,Female,0,Yes,Yes,1,No phone service,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,-1.135842638611156,1.0166666666666666,false,False,false,True
0036-ihmot,Female,0,Yes,Yes,55,No,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,1.2938313462653508,3.4283333333333332,true,False,true,False
0040-halcw,Male,0,Yes,Yes,54,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,-1.4710845408960291,0.6732098765432099,false,True,true,False
0042-jvwoj,Male,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,-1.4976383549383954,0.6049358974358975,false,True,true,False
0042-rlhyp,Female,0,Yes,Yes,69,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,-1.4943191281830994,0.6748309178743962,false,True,true,False
0047-zhdtw,Female,0,No,No,11,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,0.4739823377072946,2.816060606060606,true,False,true,False
0048-lumls,Male,0,Yes,Yes,37,No,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,0.8789280018533792,2.925720720720721,true,False,true,False
0048-pihnl,Female,0,Yes,No,49,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,-1.4694249275183813,0.6128571428571429,false,True,true,False
0052-dckon,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,1.6954577836561393,4.011186868686869,true,False,true,False
0052-ynyot,Female,0,No,No,67,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,-1.4661057007630853,0.6683582089552239,false,True,true,False
0056-epfbg,Male,0,Yes,Yes,20,No phone service,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,-0.840431457389832,1.3756666666666666,false,False,false,False
0057-qbuqh,Female,0,No,Yes,43,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,-1.3150808833971277,0.8295736434108528,false,True,true,False
0058-evzwm,Female,0,Yes,No,55,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,0.8324588272792381,3.005818181818182,true,False,true,False
0060-fualy,Female,0,Yes,No,59,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,0.996760551666379,3.1625141242937853,true,False,true,False
0064-sudog,Female,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,-1.4744037676513246,0.6236111111111111,false,True,true,False
0064-yijgf,Male,0,Yes,Yes,27,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,0.36610746816018186,2.3814814814814813,true,False,true,False
0067-dkwbl,Male,1,No,No,2,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,-0.5134876219931983,1.5183333333333333,false,False,true,True
0068-figtf,Female,0,No,No,27,No,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,0.4474285236649287,2.5666049382716047,false,False,true,False
0071-ndafp,Male,0,Yes,Yes,25,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,-1.3018039763759446,0.8408,false,True,true,False
0074-hdkdg,Male,0,Yes,Yes,25,No,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,-0.10356311771417018,2.148,false,False,true,False
0076-lveps,Male,0,No,Yes,29,No phone service,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,-0.6545547590932685,1.428103448275862,false,False,false,False
0078-xzmht,Male,0,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,0.6781147831579848,2.924166666666667,false,False,true,False
0080-emyvy,Female,0,No,No,14,No,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,-0.44046463337669106,1.7329761904761904,false,False,true,False
0080-orozo,Female,0,No,No,35,No,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,1.1461257556546887,3.363809523809524,true,False,true,False
0082-ldzue,Male,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,-0.6777893463803392,1.4766666666666666,false,False,true,False
0082-oqiqy,Male,0,No,No,29,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,0.9785048045122524,2.9972413793103447,true,False,true,False
0083-pivik,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,0.5486649397014497,2.899765625,false,False,true,False
0089-iiqko,Female,0,Yes,Yes,39,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,1.1693603429417592,3.22,true,False,true,False
0093-exyql,Female,1,No,No,40,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,0.8905452954969144,3.0613333333333332,true,False,true,False
0093-xwzfy,Male,0,No,No,40,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,1.320385160307717,3.3640416666666666,true,False,true,True
0094-oifmo,Female,1,No,No,11,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1.0050586185546184,3.3948484848484846,true,False,true,True
0096-bxers,Female,0,Yes,No,6,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,-0.4769761276849446,1.7475,false,False,true,False
0096-fcpuf,Male,0,No,No,30,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,-0.0073055418105927175,2.0982777777777777,false,False,true,False
0098-bowso,Male,0,No,No,27,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,529.8,-1.504276808448987,0.654074074074074,false,True,true,False
0100-duvfc,Male,1,Yes,No,70,Yes,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,1.3303428405736042,3.480452380952381,true,False,true,False
0103-csitq,Female,0,Yes,No,57,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,1.4830272713172103,3.656549707602339,true,False,true,False
0104-ppxdv,Male,0,Yes,No,58,No,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,-0.4786357410625927,1.6543390804597702,false,False,true,False
0106-ghrqr,Male,0,No,No,16,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,0.22172110430481612,2.525208333333333,false,False,true,False
0106-ugrdo,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,1.7020962371667312,3.953067632850242,true,False,true,False
0107-weslm,Male,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,-1.4893402880501558,0.6616666666666667,false,True,true,True
0107-yhina,Male,0,No,Yes,1,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,1.162721889431168,3.325,true,False,true,True
0111-klbqg,Male,1,Yes,Yes,32,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,0.970206737624013,2.980677083333333,true,False,true,False
0112-qawrz,Male,0,Yes,Yes,16,Yes,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,0.8656510948321957,3.0045833333333336,true,False,true,False
0112-qwpnc,Male,0,Yes,No,49,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,0.6515609691156184,2.7614625850340135,false,False,true,True
0114-igabw,Female,0,Yes,No,71,No phone service,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,-0.21475721401657852,1.946431924882629,false,False,false,False
0114-pegzz,Female,0,No,No,33,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,1.4216215763442381,3.6823232323232324,true,False,true,False
0114-rsrrw,Female,0,Yes,No,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,-1.4860210612948601,0.6258333333333334,false,True,true,False
0115-tfert,Male,0,Yes,No,21,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,1.5427733529125338,3.677936507936508,true,False,true,True
0117-lfrmw,Male,0,Yes,Yes,37,No phone service,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,-0.8138776433474657,1.3052252252252252,false,False,false,True
0118-jpnoy,Female,1,No,No,26,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,0.6996897570674071,2.812371794871795,true,False,true,False
0120-yzlqa,Male,0,No,No,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.9,1355.1,-1.487680674672508,0.6361971830985915,false,True,true,False
0121-snyrk,Male,0,No,No,50,No phone service,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1748.9,-0.973200527601663,1.1659333333333335,false,False,false,False
0122-oahpz,Female,0,No,No,7,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,0.30304215980956206,2.4345238095238093,true,False,true,True
0123-crbrt,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,0.77603197243921,3.0200819672131147,false,False,true,False
0125-lzqxk,Male,0,No,No,15,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,1.2158295175158997,3.453222222222222,true,False,true,True
0128-mkwsg,Female,0,No,Yes,26,No phone service,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,-0.6280009450509024,1.4705128205128206,false,False,false,False
0129-kptwj,Male,0,Yes,No,72,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,0.9934413249110835,3.1237731481481483,true,False,true,False
0129-qmpdr,Male,0,Yes,Yes,44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,-1.4677653141407332,0.655340909090909,false,True,true,False
0130-sxoun,Male,0,No,No,66,Yes,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,0.8191819202580551,3.0186363636363636,true,False,true,False
0133-bmfzo,Female,0,No,No,2,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,0.7146262774662383,3.0275000000000003,true,False,true,True
0134-xwxce,Female,1,No,No,44,No,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,0.3362344273625197,2.475795454545455,false,False,true,False
0135-nmxap,Female,0,No,No,12,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,0.8307992139015904,2.923333333333334,true,False,true,True
0136-ifmyd,Male,1,Yes,No,69,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,1.5012830184713368,3.6880434782608695,true,False,true,False
0137-ocgab,Female,0,No,No,1,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,80.2,0.5138130587708439,2.6733333333333333,true,False,true,True
0137-udeuo,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,-1.4893402880501558,0.7083333333333334,false,True,true,True
0139-ivfjg,Female,0,Yes,No,2,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,0.8507145744333646,3.175,true,False,true,False
0141-yeays,Female,1,No,No,27,Yes,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,0.72126473097683,2.9642592592592596,true,False,true,False
0142-gvysn,Male,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.3,511.25,-1.4744037676513246,0.655448717948718,false,True,true,False
0147-eswwr,Female,1,Yes,No,39,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,1.2125102907606045,3.3753418803418804,true,False,true,False
0148-dcdos,Male,0,No,No,25,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,0.9951009382887313,3.1494666666666666,true,False,true,True
0151-ontov,Female,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,0.2051249705283373,2.3633333333333337,true,False,true,True
0154-qyhju,Male,0,No,No,29,No,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,58.75,1696.2,-0.1981610802400997,1.9496551724137932,false,False,true,False
0156-fvpta,Male,0,Yes,No,22,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1152.7,-0.34918589760605717,1.7465151515151516,false,False,true,True
0162-rzgmz,Female,1,No,No,5,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.9,287.85,-0.1599899725541983,1.9190000000000003,false,False,true,False
0164-apgrb,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,1.6655847428584776,3.9336574074074075,true,False,true,False
0164-xairp,Female,0,No,No,24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,470.2,-1.499297968316043,0.6530555555555555,false,True,true,False
0168-xzkbb,Female,0,Yes,No,19,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,0.734541637998013,2.744561403508772,true,False,true,False
0174-qrvvy,Male,0,Yes,Yes,71,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,-1.306782816508888,0.8673943661971831,false,True,true,False
0177-pxbat,Male,1,Yes,No,33,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,1.4996234050936892,3.732020202020202,true,False,true,False
0178-ciikr,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,-1.4860210612948601,0.6444444444444445,false,True,true,False
0178-szbho,Male,0,Yes,Yes,47,Yes,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,0.7461589316415482,2.849255319148936,true,False,true,False
